ids,desc_lang
453,el
454,pt
455,et
456,nl
457,fr
458,es
459,lt
460,it
461,nl
462,pt
463,bg
464,fr
465,fr
466,en
467,hr
468,bg
469,hu
470,lt
471,nl
472,de
473,ca
474,fr
475,bg
476,de
477,ro
478,en
479,en
480,fr
481,et
482,nl
483,en
484,pl
485,en
486,pt
487,fr
488,et
489,de
490,it
491,it
492,nl
493,pt
494,bg
495,bg
496,de
497,de
498,es
499,en
500,en
501,de
502,en
503,en
504,de
505,es
506,es
507,fr
508,en
509,hr
510,en
511,de
512,nl
513,es
514,it
515,de
516,pl
517,hr
518,de
519,es
520,it
521,de
522,sk
523,pt
524,fi
525,it
526,el
527,de
528,cs
529,en
530,ca
531,en
532,it
533,et
534,de
535,lt
536,pt
537,ro
538,pt
539,es
540,ca
541,pt
542,fr
543,nl
544,bg
545,et
546,hu
547,lt
548,nl
549,hu
550,nl
551,en
552,fr
553,en
554,fr
555,lt
556,de
557,sl
558,hu
559,el
560,es
561,da
562,pt
563,es
564,de
565,en
566,bg
567,lt
568,pl
569,de
570,bg
571,pt
572,cs
573,es
574,nl
575,es
576,it
577,es
578,nl
579,cs
580,fr
581,nl
582,et
583,el
584,pt
585,fr
586,cs
587,it
588,et
589,cs
590,en
591,lv
592,nl
593,lt
594,el
595,sv
596,el
597,fr
598,en
599,de
600,bg
601,lv
602,en
603,en
604,it
605,en
606,sv
607,pl
608,es
609,de
610,sv
611,en
612,lt
613,nl
614,de
615,de
616,pt
617,nl
618,en
619,de
620,pl
621,nl
622,es
623,pl
624,lv
625,it
626,nl
627,pl
628,it
629,fr
630,de
631,bg
632,et
633,fi
634,pl
635,pl
636,es
637,it
638,pl
639,fr
640,lv
641,it
642,pl
643,nl
644,de
645,el
646,fr
647,nl
648,lv
649,it
650,it
651,sk
652,fr
653,sv
654,es
655,sv
656,nl
657,nl
658,en
659,it
660,nl
661,fr
662,bg
663,sv
664,es
665,fr
666,pt
667,fr
668,hu
669,ro
670,es
671,hu
672,fr
673,nl
674,fr
675,fr
676,cs
677,de
678,hu
679,et
680,en
681,pt
682,el
683,en
684,lv
685,nl
686,es
687,es
688,nl
689,en
690,lt
691,lt
692,de
693,fr
694,pl
695,fr
696,nl
697,pl
698,de
699,fr
700,fr
701,pl
702,da
703,et
704,en
705,sv
706,it
707,es
708,es
709,sv
710,hu
711,sk
712,de
713,de
714,en
715,cs
716,nl
717,en
718,et
719,lv
720,es
721,en
722,fr
723,fr
724,de
725,da
726,lv
727,sl
728,en
729,fr
730,en
731,nl
732,fr
733,en
734,es
735,es
736,pt
737,fr
738,hu
739,nl
740,pl
741,nl
742,en
743,fr
744,de
745,de
746,fr
747,pt
748,fr
749,pl
750,et
751,en
752,pl
753,pl
754,fr
755,en
756,en
757,de
758,fi
759,et
760,fr
761,es
762,sl
763,et
764,sv
765,es
766,lt
767,es
768,cs
769,sk
770,fr
771,es
772,de
773,et
774,hu
775,lv
776,lt
777,lv
778,hu
779,hu
780,de
781,en
782,it
783,es
784,pt
785,fr
786,es
787,cs
788,it
789,fr
790,hr
791,it
792,sk
793,de
794,fr
795,de
796,en
797,sv
798,it
799,de
800,ro
801,en
802,nl
803,it
804,nl
805,de
806,ro
807,lt
808,de
809,pl
810,es
811,en
812,nl
813,fr
814,pt
815,it
816,fr
817,sv
818,bg
819,en
820,hu
821,en
822,bg
823,de
824,el
825,sv
826,en
827,es
828,it
829,nl
830,fr
831,en
832,de
833,de
834,hu
835,da
836,de
837,lt
838,en
839,sk
840,pl
841,lv
842,sk
843,de
844,de
845,hu
846,hu
847,et
848,fr
849,it
850,hr
851,en
852,de
853,lv
854,el
855,en
856,pl
857,sk
858,hu
859,hu
860,es
861,nl
862,nl
863,fr
864,nl
865,en
866,fi
867,nl
868,hr
869,lv
870,pt
871,fr
872,pl
873,fr
874,sv
875,es
876,fr
877,en
878,fi
879,lt
880,ro
881,lt
882,de
883,lt
884,fr
885,de
886,it
887,pt
888,fr
889,sv
890,de
891,en
892,it
893,de
894,es
895,hr
896,hu
897,et
898,it
899,pt
900,et
901,nl
902,sv
903,ro
904,es
905,de
906,sk
907,nl
908,lt
909,nl
910,pl
911,bg
912,fr
913,lv
914,da
915,en
916,fr
917,pl
918,nl
919,sk
920,pt
921,cs
922,nl
923,sv
924,de
925,de
926,es
927,sv
928,fr
929,pt
930,da
931,de
932,fr
933,it
934,sk
935,en
936,pl
937,es
938,de
939,de
940,pl
941,fr
942,sv
943,lt
944,it
945,de
946,it
947,nl
948,en
949,sv
950,cs
951,et
952,nl
953,de
954,hu
955,pt
956,nl
957,pt
958,fr
959,pl
960,it
961,en
962,lt
963,en
964,en
965,fr
966,it
967,bg
968,pl
969,es
970,en
971,lv
972,fr
973,en
974,hu
975,fr
976,et
977,pt
978,es
979,de
980,de
981,it
982,es
983,es
984,de
985,pl
986,fi
987,es
988,en
989,es
990,cs
991,nl
992,sl
993,nl
994,lt
995,en
996,es
997,es
998,es
999,nl
1000,de
1001,fi
1002,en
1003,en
1004,nl
1005,it
1006,el
1007,nl
1008,cs
1009,it
1010,cs
1011,de
1012,lt
1013,hu
1014,nl
1015,nl
1016,nl
1017,de
1018,et
1019,el
1020,nl
1021,it
1022,de
1023,pt
1024,es
1025,es
1026,es
1027,es
1028,pl
1029,de
1030,fr
1031,nl
1032,nl
1033,en
1034,en
1035,ca
1036,sv
1037,it
1038,it
1039,it
1040,fr
1041,cs
1042,hu
1043,sv
1044,sv
1045,fr
1046,fr
1047,pt
1048,ru
1049,lt
1050,en
1051,en
1052,en
1053,it
1054,it
1055,fi
1056,de
1057,hr
1058,sk
1059,sv
1060,nl
1061,pl
1062,cs
1063,hu
1064,ro
1065,fr
1066,hu
1067,it
1068,de
1069,de
1070,fr
1071,fr
1072,et
1073,nl
1074,en
1075,sv
1076,sv
1077,et
1078,es
1079,pt
1080,nl
1081,hu
1082,de
1083,fr
1084,it
1085,sv
1086,fr
1087,es
1088,es
1089,it
1090,de
1091,fr
1092,hr
1093,fr
1094,es
1095,cs
1096,fr
1097,nl
1098,en
1099,nl
1100,de
1101,it
1102,sk
1103,it
1104,en
1105,sk
1106,fr
1107,en
1108,el
1109,da
1110,el
1111,lt
1112,pl
1113,cs
1114,de
1115,en
1116,it
1117,en
1118,lt
1119,fi
1120,sv
1121,lv
1122,fr
1123,lv
1124,sk
1125,nl
1126,fr
1127,de
1128,fr
1129,pl
1130,pl
1131,fr
1132,sk
1133,nl
1134,es
1135,en
1136,el
1137,pl
1138,hu
1139,et
1140,fr
1141,es
1142,cs
1143,de
1144,fi
1145,hu
1146,el
1147,de
1148,hr
1149,es
1150,et
1151,de
1152,nl
1153,de
1154,lt
1155,bg
1156,fr
1157,sk
1158,nl
1159,nl
1160,sv
1161,sv
1162,pl
1163,nl
1164,ru
1165,it
1166,bg
1167,en
1168,nl
1169,lv
1170,de
1171,nl
1172,lv
1173,en
1174,bg
1175,cs
1176,es
1177,de
1178,fi
1179,hu
1180,sv
1181,en
1182,de
1183,es
1184,sv
1185,es
1186,nl
1187,et
1188,de
1189,en
1190,sv
1191,bg
1192,it
1193,sv
1194,es
1195,cs
1196,lv
1197,fr
1198,en
1199,en
1200,nl
1201,et
1202,hu
1203,lv
1204,nl
1205,it
1206,el
1207,et
1208,bg
1209,sk
1210,en
1211,sk
1212,en
1213,sk
1214,hu
1215,lv
1216,es
1217,de
1218,sv
1219,nl
1220,es
1221,hr
1222,de
1223,es
1224,nl
1225,bg
1226,fr
1227,et
1228,hu
1229,es
1230,nl
1231,pt
1232,pt
1233,pt
1234,fr
1235,de
1236,et
1237,bg
1238,sv
1239,de
1240,bg
1241,sk
1242,en
1243,et
1244,fr
1245,fi
1246,pt
1247,lt
1248,fr
1249,fr
1250,en
1251,en
1252,ro
1253,fr
1254,de
1255,it
1256,de
1257,bg
1258,es
1259,fr
1260,es
1261,it
1262,fr
1263,en
1264,pt
1265,da
1266,it
1267,pt
1268,de
1269,fr
1270,de
1271,nl
1272,et
1273,es
1274,lv
1275,et
1276,de
1277,nl
1278,sk
1279,nl
1280,en
1281,en
1282,nl
1283,et
1284,de
1285,fr
1286,fi
1287,de
1288,es
1289,lt
1290,es
1291,es
1292,de
1293,de
1294,et
1295,fr
1296,lv
1297,de
1298,hu
1299,et
1300,pt
1301,bg
1302,es
1303,en
1304,en
1305,de
1306,nl
1307,es
1308,hu
1309,pt
1310,fr
1311,de
1312,en
1313,bg
1314,en
1315,fi
1316,it
1317,de
1318,fi
1319,lt
1320,nl
1321,sv
1322,et
1323,en
1324,en
1325,es
1326,bg
1327,sv
1328,fr
1329,fr
1330,fr
1331,es
1332,bg
1333,fr
1334,en
1335,pt
1336,de
1337,en
1338,nl
1339,fr
1340,el
1341,it
1342,hu
1343,sk
1344,nl
1345,es
1346,lt
1347,fr
1348,en
1349,de
1350,lv
1351,it
1352,sk
1353,lv
1354,ro
1355,bg
1356,fr
1357,fr
1358,pl
1359,nl
1360,de
1361,el
1362,sv
1363,lt
1364,es
1365,it
1366,pt
1367,it
1368,fr
1369,de
1370,lt
1371,hu
1372,fr
1373,de
1374,fr
1375,de
1376,it
1377,fr
1378,sv
1379,es
1380,de
1381,fr
1382,hu
1383,fr
1384,cs
1385,en
1386,en
1387,pt
1388,lv
1389,sv
1390,sk
1391,pl
1392,cs
1393,hr
1394,it
1395,pl
1396,hr
1397,lv
1398,lt
1399,fr
1400,fi
1401,es
1402,ro
1403,pt
1404,hr
1405,es
1406,bg
1407,es
1408,fr
1409,et
1410,it
1411,pl
1412,it
1413,lv
1414,it
1415,hr
1416,nl
1417,it
1418,fr
1419,fr
1420,vi
1421,pl
1422,es
1423,nl
1424,en
1425,hr
1426,es
1427,hr
1428,lt
1429,nl
1430,bg
1431,da
1432,es
1433,sk
1434,en
1435,pl
1436,sk
1437,da
1438,de
1439,pt
1440,de
1441,nl
1442,pt
1443,fr
1444,de
1445,de
1446,hu
1447,de
1448,fr
1449,cs
1450,el
1451,ro
1452,nl
1453,fr
1454,nl
1455,de
1456,en
1457,bg
1458,lv
1459,de
1460,sv
1461,cs
1462,nl
1463,et
1464,pl
1465,en
1466,de
1467,bg
1468,en
1469,fi
1470,en
1471,nl
1472,es
1473,en
1474,it
1475,fi
1476,fi
1477,nl
1478,fr
1479,da
1480,de
1481,it
1482,fr
1483,sv
1484,sv
1485,hu
1486,es
1487,it
1488,es
1489,fr
1490,de
1491,da
1492,en
1493,hu
1494,en
1495,sv
1496,de
1497,hu
1498,en
1499,en
1500,lt
1501,et
1502,en
1503,de
1504,en
1505,en
1506,nl
1507,pt
1508,de
1509,es
1510,en
1511,de
1512,it
1513,it
1514,de
1515,cs
1516,pt
1517,de
1518,ro
1519,fr
1520,sk
1521,cs
1522,fr
1523,et
1524,et
1525,lt
1526,de
1527,nl
1528,pt
1529,fr
1530,nl
1531,en
1532,en
1533,fr
1534,lv
1535,et
1536,sk
1537,sv
1538,en
1539,lt
1540,de
1541,lt
1542,el
1543,de
1544,es
1545,cs
1546,lv
1547,sv
1548,hu
1549,es
1550,pl
1551,sv
1552,fr
1553,pt
1554,de
1555,es
1556,de
1557,pt
1558,es
1559,sv
1560,lt
1561,it
1562,ro
1563,fr
1564,de
1565,de
1566,da
1567,fr
1568,pl
1569,da
1570,bg
1571,de
1572,et
1573,nl
1574,nl
1575,nl
1576,es
1577,en
1578,cs
1579,es
1580,hu
1581,en
1582,fi
1583,nl
1584,sv
1585,fr
1586,fr
1587,de
1588,en
1589,fr
1590,lv
1591,es
1592,de
1593,fr
1594,es
1595,nl
1596,de
1597,sk
1598,lt
1599,cs
1600,en
1601,et
1602,pt
1603,lv
1604,de
1605,lv
1606,lv
1607,pl
1608,nl
1609,lv
1610,el
1611,nl
1612,de
1613,es
1614,sk
1615,bg
1616,en
1617,hu
1618,it
1619,de
1620,es
1621,et
1622,en
1623,ro
1624,sk
1625,ro
1626,de
1627,en
1628,fr
1629,et
1630,nl
1631,pt
1632,es
1633,lt
1634,de
1635,it
1636,hu
1637,nl
1638,fr
1639,en
1640,pl
1641,de
1642,de
1643,en
1644,fr
1645,pl
1646,pl
1647,cs
1648,cs
1649,it
1650,fr
1651,es
1652,de
1653,sv
1654,et
1655,nl
1656,et
1657,es
1658,bg
1659,fi
1660,sk
1661,sk
1662,sv
1663,nl
1664,ro
1665,nl
1666,lt
1667,lt
1668,nl
1669,fr
1670,de
1671,en
1672,sk
1673,en
1674,es
1675,sk
1676,es
1677,pl
1678,es
1679,fr
1680,de
1681,fr
1682,pt
1683,hu
1684,fi
1685,hu
1686,hu
1687,et
1688,de
1689,nl
1690,sk
1691,en
1692,sk
1693,pt
1694,bg
1695,nl
1696,pt
1697,nl
1698,cs
1699,fi
1700,it
1701,ru
1702,en
1703,nl
1704,el
1705,pt
1706,sv
1707,cs
1708,hu
1709,fr
1710,de
1711,es
1712,fr
1713,bg
1714,it
1715,es
1716,en
1717,fr
1718,el
1719,de
1720,lv
1721,el
1722,it
1723,pl
1724,ro
1725,lt
1726,fr
1727,it
1728,de
1729,hu
1730,en
1731,pt
1732,es
1733,en
1734,sv
1735,cs
1736,bg
1737,fr
1738,fr
1739,lt
1740,nl
1741,sk
1742,et
1743,fi
1744,de
1745,hr
1746,fr
1747,hu
1748,lv
1749,cs
1750,fr
1751,nl
1752,fr
1753,fr
1754,es
1755,cs
1756,en
1757,es
1758,sk
1759,en
1760,sk
1761,fi
1762,pl
1763,es
1764,fr
1765,en
1766,es
1767,fi
1768,nl
1769,fr
1770,fr
1771,et
1772,de
1773,et
1774,fi
1775,en
1776,es
1777,fr
1778,en
1779,fr
1780,sv
1781,fr
1782,en
1783,lv
1784,de
1785,lv
1786,sv
1787,bg
1788,de
1789,it
1790,hr
1791,es
1792,en
1793,nl
1794,en
1795,hu
1796,fr
1797,de
1798,el
1799,da
1800,lt
1801,de
1802,es
1803,es
1804,pt
1805,en
1806,sv
1807,hu
1808,fr
1809,ro
1810,nl
1811,de
1812,bg
1813,en
1814,ro
1815,nl
1816,fr
1817,de
1818,en
1819,en
1820,en
1821,es
1822,bg
1823,de
1824,cs
1825,en
1826,en
1827,sk
1828,de
1829,fr
1830,bg
1831,lv
1832,it
1833,de
1834,en
1835,it
1836,es
1837,fr
1838,en
1839,it
1840,et
1841,lv
1842,bg
1843,nl
1844,fr
1845,it
1846,cs
1847,fr
1848,nl
1849,bg
1850,et
1851,nl
1852,lt
1853,cs
1854,en
1855,sk
1856,fr
1857,nl
1858,sv
1859,nl
1860,sk
1861,en
1862,fr
1863,fi
1864,sv
1865,fi
1866,it
1867,pt
1868,fi
1869,hu
1870,nl
1871,et
1872,sk
1873,es
1874,nl
1875,fi
1876,cs
1877,en
1878,fi
1879,en
1880,es
1881,de
1882,hu
1883,en
1884,fr
1885,en
1886,lt
1887,de
1888,es
1889,pt
1890,hr
1891,el
1892,de
1893,pt
1894,cs
1895,nl
1896,it
1897,sv
1898,de
1899,hu
1900,it
1901,en
1902,pt
1903,lt
1904,en
1905,de
1906,en
1907,lv
1908,es
1909,it
1910,it
1911,en
1912,sk
1913,fr
1914,es
1915,el
1916,it
1917,es
1918,hu
1919,de
1920,es
1921,sv
1922,en
1923,en
1924,sk
1925,fr
1926,it
1927,hu
1928,en
1929,sv
1930,en
1931,lv
1932,ru
1933,sk
1934,pl
1935,de
1936,nl
1937,fi
1938,pl
1939,sv
1940,de
1941,pl
1942,en
1943,bg
1944,es
1945,cs
1946,ro
1947,bg
1948,de
1949,de
1950,pl
1951,nl
1952,fr
1953,hr
1954,nl
1955,es
1956,sk
1957,sv
1958,et
1959,nl
1960,es
1961,hu
1962,fr
1963,en
1964,fr
1965,lt
1966,en
1967,nl
1968,fi
1969,hu
1970,et
1971,fr
1972,el
1973,fr
1974,sv
1975,en
1976,lv
1977,cs
1978,fr
1979,it
1980,bg
1981,cs
1982,fr
1983,sk
1984,et
1985,en
1986,en
1987,pl
1988,en
1989,nl
1990,hr
1991,de
1992,lv
1993,et
1994,de
1995,da
1996,de
1997,es
1998,es
1999,de
2000,en
2001,en
2002,hu
2003,pl
2004,fr
2005,de
2006,pl
2007,fr
2008,nl
2009,de
2010,hu
2011,lt
2012,fr
2013,nl
2014,sk
2015,fr
2016,pl
2017,it
2018,fr
2019,nl
2020,en
2021,de
2022,fr
2023,sv
2024,it
2025,sv
2026,sv
2027,fi
2028,es
2029,hr
2030,de
2031,pl
2032,hu
2033,de
2034,en
2035,nl
2036,fr
2037,pt
2038,et
2039,de
2040,de
2041,lt
2042,pl
2043,pl
2044,sv
2045,it
2046,it
2047,nl
2048,bg
2049,nl
2050,pl
2051,it
2052,es
2053,nl
2054,lv
2055,en
2056,en
2057,sv
2058,es
2059,lt
2060,cs
2061,lv
2062,es
2063,en
2064,pl
2065,it
2066,hu
2067,lv
2068,de
2069,bg
2070,en
2071,es
2072,es
2073,sv
2074,el
2075,et
2076,bg
2077,es
2078,de
2079,en
2080,de
2081,nl
2082,it
2083,it
2084,hr
2085,pt
2086,fr
2087,fr
2088,fi
2089,en
2090,nl
2091,hu
2092,ca
2093,bg
2094,en
2095,hr
2096,pl
2097,lv
2098,hu
2099,de
2100,de
2101,pl
2102,bg
2103,en
2104,ro
2105,cs
2106,nl
2107,fr
2108,bg
2109,en
2110,it
2111,es
2112,et
2113,it
2114,en
2115,pl
2116,pt
2117,sv
2118,it
2119,hu
2120,sv
2121,pl
2122,sv
2123,es
2124,fr
2125,el
2126,it
2127,de
2128,ro
2129,lt
2130,it
2131,en
2132,de
2133,en
2134,de
2135,pl
2136,sv
2137,it
2138,de
2139,bg
2140,sv
2141,de
2142,de
2143,nl
2144,pt
2145,de
2146,ro
2147,et
2148,sv
2149,nl
2150,de
2151,it
2152,fr
2153,ro
2154,fr
2155,en
2156,fr
2157,it
2158,bg
2159,it
2160,it
2161,lt
2162,fr
2163,fr
2164,pt
2165,el
2166,nl
2167,it
2168,cs
2169,en
2170,el
2171,nl
2172,lv
2173,sk
2174,sv
2175,es
2176,sk
2177,sv
2178,sk
2179,nl
2180,fi
2181,bg
2182,hu
2183,et
2184,et
2185,nl
2186,hu
2187,nl
2188,it
2189,en
2190,nl
2191,de
2192,No language detected.
2193,de
2194,en
2195,it
2196,it
2197,bg
2198,de
2199,pt
2200,en
2201,nl
2202,en
2203,sk
2204,pt
2205,nl
2206,nl
2207,bg
2208,et
2209,de
2210,bg
2211,es
2212,nl
2213,de
2214,cs
2215,sv
2216,hu
2217,nl
2218,es
2219,hu
2220,sv
2221,sl
2222,de
2223,it
2224,cs
2225,de
2226,pl
2227,de
2228,it
2229,pl
2230,fi
2231,en
2232,it
2233,fi
2234,fr
2235,pt
2236,it
2237,lv
2238,nl
2239,it
2240,sk
2241,it
2242,sv
2243,sk
2244,nl
2245,et
2246,es
2247,de
2248,en
2249,nl
2250,lv
2251,en
2252,de
2253,it
2254,en
2255,de
2256,sk
2257,bg
2258,da
2259,en
2260,fr
2261,et
2262,nl
2263,lv
2264,de
2265,pt
2266,de
2267,nl
2268,ro
2269,ru
2270,el
2271,es
2272,sv
2273,fi
2274,de
2275,ro
2276,en
2277,fr
2278,cs
2279,lv
2280,it
2281,sv
2282,fr
2283,nl
2284,it
2285,nl
2286,pt
2287,sk
2288,cs
2289,es
2290,sl
2291,sk
2292,lv
2293,hu
2294,ro
2295,et
2296,de
2297,hr
2298,fr
2299,fr
2300,bg
2301,pt
2302,it
2303,de
2304,de
2305,es
2306,nl
2307,sv
2308,fr
2309,en
2310,da
2311,es
2312,fi
2313,nl
2314,de
2315,fr
2316,it
2317,hu
2318,it
2319,bg
2320,lt
2321,es
2322,lt
2323,it
2324,pt
2325,nl
2326,fr
2327,es
2328,cs
2329,es
2330,el
2331,es
2332,fi
2333,et
2334,cs
2335,es
2336,nl
2337,fr
2338,hu
2339,et
2340,fr
2341,nl
2342,it
2343,nl
2344,en
2345,hr
2346,it
2347,ro
2348,pt
2349,de
2350,nl
2351,lt
2352,bg
2353,hu
2354,fr
2355,pl
2356,el
2357,es
2358,cs
2359,sv
2360,pl
2361,en
2362,es
2363,es
2364,de
2365,sk
2366,pl
2367,es
2368,cs
2369,fr
2370,lt
2371,hr
2372,en
2373,fr
2374,it
2375,et
2376,hr
2377,es
2378,es
2379,nl
2380,nl
2381,cs
2382,de
2383,hr
2384,pt
2385,en
2386,de
2387,de
2388,hu
2389,ro
2390,sv
2391,el
2392,bg
2393,nl
2394,de
2395,es
2396,sv
2397,sv
2398,en
2399,nl
2400,en
2401,pl
2402,en
2403,fr
2404,en
2405,de
2406,hu
2407,sv
2408,nl
2409,en
2410,ro
2411,en
2412,en
2413,lv
2414,hu
2415,sv
2416,de
2417,fr
2418,sk
2419,it
2420,pl
2421,hr
2422,fr
2423,es
2424,lv
2425,hu
2426,en
2427,de
2428,et
2429,fr
2430,ro
2431,fr
2432,en
2433,sv
2434,nl
2435,fr
2436,nl
2437,en
2438,fr
2439,pt
2440,pt
2441,es
2442,de
2443,fr
2444,en
2445,sk
2446,et
2447,es
2448,es
2449,it
2450,hu
2451,hu
2452,no
2453,nl
2454,cs
2455,hr
2456,fr
2457,en
2458,fr
2459,it
2460,de
2461,sv
2462,cs
2463,nl
2464,pt
2465,en
2466,sv
2467,sk
2468,es
2469,it
2470,it
2471,lt
2472,cs
2473,lt
2474,ro
2475,hu
2476,hu
2477,bg
2478,it
2479,es
2480,fr
2481,en
2482,pt
2483,pt
2484,it
2485,el
2486,pt
2487,it
2488,pt
2489,cs
2490,de
2491,en
2492,de
2493,lv
2494,nl
2495,hu
2496,hr
2497,fr
2498,nl
2499,sk
2500,es
2501,cs
2502,sk
2503,ro
2504,fr
2505,cs
2506,fr
2507,it
2508,sk
2509,sk
2510,it
2511,pt
2512,pt
2513,fr
2514,sk
2515,sv
2516,fr
2517,en
2518,sv
2519,it
2520,de
2521,es
2522,it
2523,en
2524,nl
2525,it
2526,lv
2527,hr
2528,ru
2529,lv
2530,sk
2531,it
2532,pl
2533,lt
2534,nl
2535,fr
2536,es
2537,fr
2538,es
2539,en
2540,fr
2541,et
2542,es
2543,fr
2544,nl
2545,pt
2546,it
2547,it
2548,pt
2549,es
2550,it
2551,hr
2552,pt
2553,el
2554,en
2555,et
2556,et
2557,en
2558,de
2559,de
2560,el
2561,it
2562,bg
2563,sv
2564,hr
2565,el
2566,it
2567,lt
2568,en
2569,fr
2570,en
2571,it
2572,fr
2573,es
2574,pt
2575,de
2576,cs
2577,et
2578,et
2579,de
2580,es
2581,en
2582,da
2583,et
2584,pt
2585,sv
2586,nl
2587,sk
2588,lv
2589,en
2590,en
2591,hu
2592,de
2593,en
2594,fi
2595,hu
2596,sv
2597,el
2598,de
2599,fr
2600,cs
2601,en
2602,bg
2603,sk
2604,da
2605,fr
2606,fr
2607,ro
2608,sk
2609,it
2610,lv
2611,fi
2612,nl
2613,es
2614,hu
2615,nl
2616,en
2617,nl
2618,fr
2619,en
2620,de
2621,en
2622,pl
2623,nl
2624,sv
2625,pl
2626,es
2627,fr
2628,sk
2629,sv
2630,lv
2631,et
2632,fr
2633,pt
2634,et
2635,de
2636,lt
2637,lv
2638,sv
2639,el
2640,et
2641,it
2642,hu
2643,fr
2644,de
2645,hu
2646,de
2647,hr
2648,de
2649,pl
2650,nl
2651,en
2652,de
2653,lt
2654,sv
2655,cs
2656,sv
2657,el
2658,de
2659,sk
2660,es
2661,cs
2662,en
2663,bg
2664,it
2665,el
2666,de
2667,fr
2668,fr
2669,en
2670,es
2671,sl
2672,el
2673,de
2674,bg
2675,ro
2676,da
2677,cs
2678,es
2679,en
2680,en
2681,bg
2682,de
2683,sv
2684,sk
2685,it
2686,fr
2687,es
2688,lt
2689,sv
2690,sv
2691,fr
